f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,label
1.0,0.0,0.0,0.0,0.0,0.0,0.7875837539145175,0.107646484375,-0.24375,-0.08333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.5031856421497358,0.058186848958333336,-0.578125,-0.20416666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.6247719031196626,0.038385416666666665,0.73125,0.4583333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,AVOID_PERSON
0.0,0.0,1.0,0.0,0.0,0.0,0.8842584265952382,0.085634765625,0.16875,0.24583333333333332,0.0,1.0,0.0,0.0,0.0,0.0,0.4635831513750366,0.024046223958333335,-0.8125,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,CHECK_TABLE
1.0,0.0,0.0,0.0,0.0,0.0,0.814027103897625,0.09462890625,0.05625,0.08333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.7909890228817714,0.03919270833333333,-0.421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,AVOID_PERSON
0.0,0.0,0.0,0.0,0.0,1.0,0.6946634449051994,0.05213541666666666,0.38125,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,EXPLORE
1.0,0.0,0.0,0.0,0.0,0.0,0.933801764543206,0.07786458333333333,-0.10625,-0.2375,0.0,0.0,1.0,0.0,0.0,0.0,0.7629512419874165,0.07211588541666666,0.20625,-0.2791666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,AVOID_PERSON
0.0,1.0,0.0,0.0,0.0,0.0,0.6729867416413782,0.055543619791666665,0.25,-0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,EXPLORE
0.0,1.0,0.0,0.0,0.0,0.0,0.9423494466134977,0.07852864583333333,-0.2375,0.17083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,MOVE_TO_CHAIR
0.0,0.0,1.0,0.0,0.0,0.0,0.9698003918403292,0.06915364583333333,0.06875,0.5208333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.4458640220036833,0.04980794270833333,0.59375,0.058333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,CHECK_TABLE
1.0,0.0,0.0,0.0,0.0,0.0,0.7929166808608924,0.13435221354166665,0.178125,-0.225,0.0,0.0,1.0,0.0,0.0,0.0,0.8096158895314485,0.06632161458333333,0.065625,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,AVOID_PERSON
0.0,1.0,0.0,0.0,0.0,0.0,0.9769537664589625,0.037216796875,-0.234375,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,MOVE_TO_CHAIR
0.0,1.0,0.0,0.0,0.0,0.0,0.9618229172691981,0.0423828125,0.446875,0.4041666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.693988279958,0.030179036458333332,0.165625,-0.14166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,MOVE_TO_CHAIR
1.0,0.0,0.0,0.0,0.0,0.0,0.7526268762643519,0.06513346354166667,0.159375,-0.26666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.8822013804019432,0.0254296875,-0.384375,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,AVOID_PERSON
