f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,label,source_type,source_file,frame_index,auto_label,needs_review,batch_id,scenario
1.0,0.0,0.0,0.0,0.0,0.0,0.8762802481651306,0.3716015625,0.4,-0.058333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.798432469367981,0.026728515625,0.640625,0.6458333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.5814799070358276,0.016500651041666668,0.9375,-0.05416666666666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,5,AVOID_PERSON,1,batch_E_real,mixed
1.0,0.0,0.0,0.0,0.0,0.0,0.8947458863258362,0.325078125,0.421875,-0.0875,0.0,0.0,0.0,0.0,0.0,1.0,0.6557612419128418,0.026728515625,0.625,0.6458333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.583831250667572,0.02197265625,0.925,-0.041666666666666664,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,10,AVOID_PERSON,0,batch_E_real,mixed
1.0,0.0,0.0,0.0,0.0,0.0,0.8575789928436279,0.33541666666666664,0.421875,-0.041666666666666664,0.0,0.0,0.0,0.0,0.0,1.0,0.7930949330329895,0.026744791666666667,0.915625,-0.020833333333333332,0.0,0.0,0.0,0.0,0.0,1.0,0.782613217830658,0.023815104166666667,0.6125,0.65,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,15,AVOID_PERSON,0,batch_E_real,mixed
1.0,0.0,0.0,0.0,0.0,0.0,0.7884752750396729,0.30939453125,0.390625,-0.0875,0.0,0.0,0.0,0.0,0.0,1.0,0.6526206731796265,0.024016927083333334,0.596875,0.65,0.0,0.0,0.0,0.0,0.0,1.0,0.5099305510520935,0.0400390625,-0.678125,0.6041666666666666,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,20,AVOID_PERSON,1,batch_E_real,mixed
1.0,0.0,0.0,0.0,0.0,0.0,0.8113029599189758,0.344482421875,0.425,-0.11666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.5040344595909119,0.117578125,-0.25,0.5083333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.47845762968063354,0.04076822916666667,-0.696875,0.6083333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,25,AVOID_PERSON,1,batch_E_real,mixed
1.0,0.0,0.0,0.0,0.0,0.0,0.8237921595573425,0.3595735677083333,0.465625,-0.21666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.7839136123657227,0.024583333333333332,0.553125,0.65,0.0,0.0,0.0,0.0,0.0,1.0,0.48696425557136536,0.1159375,-0.26875,0.5041666666666667,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,30,AVOID_PERSON,0,batch_E_real,mixed
1.0,0.0,0.0,0.0,0.0,0.0,0.7697634696960449,0.26715494791666666,0.396875,-0.3958333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.5381954908370972,0.1159375,-0.2875,0.5083333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.581525981426239,0.024583333333333332,0.534375,0.65,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,35,AVOID_PERSON,1,batch_E_real,mixed
1.0,0.0,0.0,0.0,0.0,0.0,0.898304283618927,0.1680078125,0.309375,-0.575,0.0,0.0,0.0,0.0,0.0,1.0,0.25964221358299255,0.7307291666666667,-0.021875,0.2125,0.0,0.0,0.0,0.0,0.0,1.0,0.6825021505355835,0.1030859375,-0.003125,-0.016666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,40,AVOID_PERSON,1,batch_E_real,mixed
1.0,0.0,0.0,0.0,0.0,0.0,0.9326076507568359,0.1318359375,0.278125,-0.625,0.0,0.0,0.0,0.0,0.0,1.0,0.46019411087036133,0.74369140625,-0.034375,0.19583333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.7267757058143616,0.11375,-0.328125,0.5125,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,45,AVOID_PERSON,1,batch_E_real,mixed
1.0,0.0,0.0,0.0,0.0,0.0,0.9283401370048523,0.1224609375,0.271875,-0.6458333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.422102689743042,0.76646484375,-0.025,0.19583333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.7240268588066101,0.11307291666666666,-0.34375,0.5083333333333333,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AVOID_PERSON,real_media,mixkit_table_05.mp4,50,AVOID_PERSON,1,batch_E_real,mixed
