row_id,source_file,frame_index,auto_label,final_label,drop_row,needs_review,detections_json
0,mixkit_office_01.mp4,10,MOVE_TO_CHAIR,,0,1,"{""person"": 13, ""chair"": 8, ""potted plant"": 3, ""laptop"": 6, ""tv"": 1, ""dining table"": 1}"
1,mixkit_office_01.mp4,20,MOVE_TO_CHAIR,,0,1,"{""chair"": 5, ""potted plant"": 3, ""person"": 15, ""laptop"": 8, ""bottle"": 1, ""dining table"": 1, ""tv"": 1}"
2,mixkit_office_01.mp4,30,MOVE_TO_CHAIR,,0,1,"{""person"": 17, ""laptop"": 8, ""potted plant"": 6, ""chair"": 8, ""tv"": 1, ""dining table"": 1}"
3,mixkit_office_01.mp4,40,MOVE_TO_CHAIR,,0,1,"{""person"": 14, ""potted plant"": 2, ""laptop"": 5, ""chair"": 8, ""tv"": 1}"
4,mixkit_office_01.mp4,50,AVOID_PERSON,,0,1,"{""potted plant"": 4, ""chair"": 8, ""person"": 13, ""laptop"": 8, ""tv"": 1}"
5,mixkit_office_01.mp4,60,MOVE_TO_CHAIR,,0,1,"{""potted plant"": 5, ""chair"": 5, ""laptop"": 6, ""person"": 14, ""tv"": 1, ""dining table"": 2}"
6,mixkit_office_01.mp4,70,MOVE_TO_CHAIR,,0,1,"{""potted plant"": 5, ""chair"": 7, ""person"": 12, ""laptop"": 6, ""backpack"": 1}"
7,mixkit_office_01.mp4,80,MOVE_TO_CHAIR,,0,1,"{""laptop"": 6, ""potted plant"": 4, ""person"": 13, ""chair"": 7, ""dining table"": 2}"
8,mixkit_office_01.mp4,90,MOVE_TO_CHAIR,,0,1,"{""person"": 14, ""laptop"": 5, ""chair"": 5, ""potted plant"": 3, ""dining table"": 2}"
9,mixkit_office_01.mp4,100,AVOID_PERSON,,0,1,"{""laptop"": 5, ""person"": 14, ""potted plant"": 5, ""chair"": 2, ""tv"": 1, ""dining table"": 1}"
10,mixkit_office_01.mp4,110,MOVE_TO_CHAIR,,0,1,"{""person"": 14, ""tv"": 1, ""chair"": 7, ""laptop"": 4, ""potted plant"": 5, ""dining table"": 1, ""backpack"": 1}"
11,mixkit_office_01.mp4,120,AVOID_PERSON,,0,1,"{""person"": 15, ""chair"": 13, ""potted plant"": 6, ""laptop"": 5, ""tv"": 1, ""dining table"": 1}"
12,mixkit_office_01.mp4,130,MOVE_TO_CHAIR,,0,1,"{""person"": 16, ""laptop"": 7, ""chair"": 8, ""potted plant"": 5, ""dining table"": 1, ""tv"": 1}"
13,mixkit_office_01.mp4,140,MOVE_TO_CHAIR,,0,1,"{""chair"": 9, ""person"": 20, ""potted plant"": 5, ""laptop"": 6, ""tv"": 1, ""dining table"": 1}"
14,mixkit_office_01.mp4,150,MOVE_TO_CHAIR,,0,1,"{""chair"": 7, ""potted plant"": 5, ""person"": 15, ""laptop"": 6, ""tv"": 1}"
15,mixkit_office_01.mp4,160,AVOID_PERSON,,0,1,"{""person"": 22, ""chair"": 6, ""potted plant"": 4, ""tv"": 2, ""laptop"": 5}"
16,mixkit_office_01.mp4,170,AVOID_PERSON,,0,1,"{""chair"": 7, ""person"": 17, ""tv"": 2, ""potted plant"": 4, ""laptop"": 6, ""dining table"": 1}"
17,mixkit_office_01.mp4,180,AVOID_PERSON,,0,1,"{""chair"": 8, ""person"": 17, ""tv"": 1, ""potted plant"": 5, ""laptop"": 4, ""dining table"": 1, ""bowl"": 1}"
18,mixkit_office_01.mp4,190,AVOID_PERSON,,0,1,"{""person"": 16, ""potted plant"": 5, ""chair"": 7, ""laptop"": 6, ""tv"": 1}"
19,mixkit_office_01.mp4,200,MOVE_TO_CHAIR,,0,1,"{""chair"": 9, ""potted plant"": 5, ""laptop"": 5, ""person"": 9, ""tv"": 1, ""dining table"": 1}"
20,mixkit_office_01.mp4,210,MOVE_TO_CHAIR,,0,1,"{""potted plant"": 5, ""person"": 13, ""chair"": 9, ""laptop"": 5, ""tv"": 1, ""dining table"": 1}"
