row_id,source_file,frame_index,auto_label,final_label,drop_row,needs_review,detections_json
0,mixkit_table_05.mp4,8,AVOID_PERSON,,0,1,"{""person"": 1, ""keyboard"": 1, ""mouse"": 1, ""potted plant"": 1, ""book"": 2}"
1,mixkit_table_05.mp4,16,AVOID_PERSON,,0,1,"{""person"": 1, ""mouse"": 1, ""keyboard"": 1, ""potted plant"": 1, ""book"": 2}"
2,mixkit_table_05.mp4,24,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""potted plant"": 1, ""mouse"": 1}"
3,mixkit_table_05.mp4,32,AVOID_PERSON,,0,1,"{""person"": 2, ""keyboard"": 1, ""book"": 3, ""potted plant"": 1, ""mouse"": 1, ""remote"": 1}"
4,mixkit_table_05.mp4,40,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 6, ""keyboard"": 1, ""potted plant"": 1, ""dining table"": 1}"
5,mixkit_table_05.mp4,48,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""potted plant"": 1, ""dining table"": 1}"
6,mixkit_table_05.mp4,56,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""chair"": 1, ""potted plant"": 1, ""dining table"": 1}"
7,mixkit_table_05.mp4,64,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""potted plant"": 1, ""chair"": 1, ""dining table"": 1}"
8,mixkit_table_05.mp4,72,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""dining table"": 1, ""potted plant"": 1, ""knife"": 1}"
9,mixkit_table_05.mp4,80,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""potted plant"": 1}"
10,mixkit_table_05.mp4,88,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""keyboard"": 1, ""dining table"": 1, ""potted plant"": 1}"
11,mixkit_table_05.mp4,96,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""keyboard"": 1, ""potted plant"": 1, ""dining table"": 1, ""knife"": 1}"
12,mixkit_table_05.mp4,104,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""potted plant"": 1}"
13,mixkit_table_05.mp4,112,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 5, ""keyboard"": 1, ""dining table"": 1}"
14,mixkit_table_05.mp4,120,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""keyboard"": 1, ""potted plant"": 1, ""dining table"": 1}"
15,mixkit_table_05.mp4,128,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""keyboard"": 1}"
16,mixkit_table_05.mp4,136,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""dining table"": 1, ""keyboard"": 1}"
17,mixkit_table_05.mp4,144,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""keyboard"": 1, ""dining table"": 1}"
18,mixkit_table_05.mp4,152,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""dining table"": 1, ""potted plant"": 1}"
19,mixkit_table_05.mp4,160,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 5, ""dining table"": 1}"
20,mixkit_table_05.mp4,168,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""dining table"": 1}"
21,mixkit_table_05.mp4,176,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 2, ""dining table"": 1, ""remote"": 1}"
22,mixkit_table_05.mp4,184,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 5, ""dining table"": 1, ""remote"": 1}"
23,mixkit_table_05.mp4,192,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 4, ""dining table"": 1, ""cell phone"": 1}"
24,mixkit_table_05.mp4,200,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 5, ""dining table"": 1, ""remote"": 1, ""chair"": 1}"
25,mixkit_table_05.mp4,208,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 3, ""dining table"": 1, ""chair"": 1, ""remote"": 1, ""cell phone"": 1}"
26,mixkit_table_05.mp4,216,AVOID_PERSON,,0,1,"{""person"": 1, ""book"": 5, ""dining table"": 1, ""chair"": 1}"
27,mixkit_table_06.mp4,8,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""laptop"": 2, ""keyboard"": 2, ""remote"": 1}"
28,mixkit_table_06.mp4,16,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1, ""suitcase"": 1}"
29,mixkit_table_06.mp4,24,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5, ""keyboard"": 1}"
30,mixkit_table_06.mp4,32,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5}"
31,mixkit_table_06.mp4,40,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5, ""keyboard"": 1, ""remote"": 1}"
32,mixkit_table_06.mp4,48,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5}"
33,mixkit_table_06.mp4,56,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
34,mixkit_table_06.mp4,64,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
35,mixkit_table_06.mp4,72,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 6, ""book"": 1, ""remote"": 1}"
36,mixkit_table_06.mp4,80,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 5, ""remote"": 1}"
37,mixkit_table_06.mp4,88,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 7, ""remote"": 1}"
38,mixkit_table_06.mp4,96,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 6, ""remote"": 1}"
39,mixkit_table_06.mp4,104,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 6, ""remote"": 1}"
40,mixkit_table_06.mp4,112,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 6, ""remote"": 1, ""book"": 1}"
41,mixkit_table_06.mp4,120,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 6, ""keyboard"": 1, ""book"": 1, ""remote"": 1}"
42,mixkit_table_06.mp4,128,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""keyboard"": 1, ""remote"": 2}"
43,mixkit_table_06.mp4,136,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 6, ""keyboard"": 1}"
44,mixkit_table_06.mp4,144,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 6, ""tv"": 1}"
45,mixkit_table_06.mp4,152,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
46,mixkit_table_06.mp4,160,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1}"
47,mixkit_table_06.mp4,168,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
48,mixkit_table_06.mp4,176,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1}"
49,mixkit_table_06.mp4,184,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1}"
50,mixkit_table_06.mp4,192,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""keyboard"": 1, ""remote"": 2}"
51,mixkit_table_06.mp4,200,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5}"
52,mixkit_table_06.mp4,208,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5}"
53,mixkit_table_06.mp4,216,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
54,mixkit_table_06.mp4,224,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
55,mixkit_table_06.mp4,232,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
56,mixkit_table_06.mp4,240,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
57,mixkit_table_06.mp4,248,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
58,mixkit_table_06.mp4,256,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
59,mixkit_table_06.mp4,264,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
60,mixkit_table_06.mp4,272,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5}"
61,mixkit_table_06.mp4,280,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 4}"
62,mixkit_table_06.mp4,288,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 3}"
63,mixkit_table_06.mp4,296,AVOID_PERSON,,0,1,"{""person"": 6, ""chair"": 4}"
64,mixkit_table_06.mp4,304,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
65,mixkit_table_06.mp4,312,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 4}"
66,mixkit_table_06.mp4,320,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 4, ""remote"": 1}"
67,mixkit_table_06.mp4,328,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 4}"
68,mixkit_table_06.mp4,336,AVOID_PERSON,,0,1,"{""person"": 6, ""chair"": 5}"
69,mixkit_table_06.mp4,344,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 4, ""book"": 1}"
70,mixkit_table_06.mp4,352,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
71,mixkit_table_06.mp4,360,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
72,mixkit_table_06.mp4,368,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
73,mixkit_table_06.mp4,376,AVOID_PERSON,,0,1,"{""person"": 3, ""chair"": 5, ""remote"": 1}"
74,mixkit_table_06.mp4,384,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1, ""tv"": 1}"
75,mixkit_table_06.mp4,392,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
76,mixkit_table_06.mp4,400,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1, ""tv"": 1}"
77,mixkit_table_06.mp4,408,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 5, ""remote"": 1}"
78,mixkit_table_06.mp4,416,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1}"
79,mixkit_table_06.mp4,424,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5, ""remote"": 1}"
80,mixkit_table_06.mp4,432,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1}"
81,mixkit_table_06.mp4,440,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1}"
82,mixkit_table_06.mp4,448,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 6, ""remote"": 1}"
83,mixkit_table_06.mp4,456,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1}"
84,mixkit_table_06.mp4,464,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5}"
85,mixkit_table_06.mp4,472,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""tv"": 1}"
86,mixkit_table_06.mp4,480,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1, ""tv"": 1, ""keyboard"": 1}"
87,mixkit_table_06.mp4,488,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 2, ""tv"": 1}"
88,mixkit_table_06.mp4,496,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""tv"": 1, ""remote"": 1}"
89,mixkit_table_06.mp4,504,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5, ""remote"": 2, ""keyboard"": 1}"
90,mixkit_table_06.mp4,512,AVOID_PERSON,,0,1,"{""person"": 4, ""remote"": 2, ""chair"": 4, ""keyboard"": 1}"
91,mixkit_table_06.mp4,520,AVOID_PERSON,,0,1,"{""person"": 4, ""remote"": 2, ""chair"": 4, ""tv"": 1}"
92,mixkit_table_06.mp4,528,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 2, ""tv"": 1}"
93,mixkit_table_06.mp4,536,AVOID_PERSON,,0,1,"{""person"": 4, ""remote"": 2, ""chair"": 5, ""keyboard"": 1}"
94,mixkit_table_06.mp4,544,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 2}"
95,mixkit_table_06.mp4,552,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 2, ""keyboard"": 1}"
96,mixkit_table_06.mp4,560,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 5, ""remote"": 2, ""keyboard"": 1, ""tv"": 1}"
97,mixkit_table_06.mp4,568,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 2, ""keyboard"": 1, ""remote"": 2, ""suitcase"": 1}"
98,mixkit_table_06.mp4,576,AVOID_PERSON,,0,1,"{""person"": 4, ""keyboard"": 1, ""chair"": 4}"
99,mixkit_table_06.mp4,584,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""keyboard"": 1, ""cell phone"": 1, ""remote"": 2}"
100,mixkit_table_06.mp4,592,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""keyboard"": 1, ""remote"": 1, ""tv"": 1}"
101,mixkit_table_06.mp4,600,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 6}"
102,mixkit_table_06.mp4,608,AVOID_PERSON,,0,1,"{""person"": 4, ""cell phone"": 1, ""chair"": 6, ""keyboard"": 1, ""remote"": 1}"
103,mixkit_table_06.mp4,616,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
104,mixkit_table_06.mp4,624,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3}"
105,mixkit_table_06.mp4,632,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3}"
106,mixkit_table_06.mp4,640,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""suitcase"": 1}"
107,mixkit_table_06.mp4,648,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3}"
108,mixkit_table_06.mp4,656,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 2}"
109,mixkit_table_06.mp4,664,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 3, ""suitcase"": 1}"
110,mixkit_table_06.mp4,672,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 2, ""remote"": 1, ""suitcase"": 1}"
111,mixkit_table_06.mp4,680,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""suitcase"": 1}"
112,mixkit_table_06.mp4,688,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 2, ""suitcase"": 1, ""keyboard"": 1}"
113,mixkit_table_06.mp4,696,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""keyboard"": 1}"
114,mixkit_table_06.mp4,704,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1, ""keyboard"": 1}"
115,mixkit_table_06.mp4,712,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1, ""keyboard"": 1}"
116,mixkit_table_06.mp4,720,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
117,mixkit_table_06.mp4,728,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3}"
118,mixkit_table_06.mp4,736,AVOID_PERSON,,0,1,"{""person"": 4, ""suitcase"": 1, ""chair"": 4}"
119,mixkit_table_06.mp4,744,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""keyboard"": 1}"
120,mixkit_table_06.mp4,752,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""keyboard"": 1}"
121,mixkit_table_06.mp4,760,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3}"
122,mixkit_table_06.mp4,768,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
123,mixkit_table_06.mp4,776,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""keyboard"": 1}"
124,mixkit_table_06.mp4,784,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
125,mixkit_table_06.mp4,792,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""keyboard"": 1}"
126,mixkit_table_06.mp4,800,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1}"
127,mixkit_table_06.mp4,808,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
128,mixkit_table_06.mp4,816,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 2, ""suitcase"": 1, ""remote"": 1}"
129,mixkit_table_06.mp4,824,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 2, ""remote"": 1, ""keyboard"": 1}"
130,mixkit_table_06.mp4,832,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4}"
131,mixkit_table_06.mp4,840,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
132,mixkit_table_06.mp4,848,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1, ""suitcase"": 1, ""keyboard"": 1}"
133,mixkit_table_06.mp4,856,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
134,mixkit_table_06.mp4,864,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
135,mixkit_table_06.mp4,872,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 2, ""remote"": 1}"
136,mixkit_table_06.mp4,880,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 2, ""remote"": 1}"
137,mixkit_table_06.mp4,888,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 4, ""remote"": 1}"
138,mixkit_table_06.mp4,896,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 2}"
139,mixkit_table_06.mp4,904,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
140,mixkit_table_06.mp4,912,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
141,mixkit_table_06.mp4,920,AVOID_PERSON,,0,1,"{""person"": 4, ""chair"": 3, ""remote"": 1}"
142,mixkit_table_06.mp4,928,AVOID_PERSON,,0,1,"{""person"": 5, ""chair"": 3, ""remote"": 1}"
